Source,Target
F#:sus4,F#
F#,F#:sus4
F#:sus4,F#
F#,F#:sus4
F#:sus4,F#
F#,F#:sus4
F#:sus4,F#
F#,B
B,F#
F#,D#:7
D#:7,G#
G#,C#:7
C#:7,F#
F#,F#:sus4
F#:sus4,F#
F#,F#:sus4
F#:sus4,F#
F#,F#:sus4
F#:sus4,F#
F#,F#:sus4
F#:sus4,F#
F#,F#:sus4
F#:sus4,F#
F#,N
N,N
N,D
D,G:7
G:7,C:7
C:7,G:7
G:7,C
C,C#
C#,D:7
D:7,G
G,C
C,G
G,D
D,C
C,G
G,C
C,C#
C#,D
D,G
G,C
C,G
G,D
D,C
C,G
G,C
C,C#
C#,D:7
D:7,G
G,C
C,G
G,D
D,C
C,G
G,D
D,G
G,C
C,G
G,D
D,C
C,G
G,D:7
D:7,G
G,C
C,G
G,D
D,C
C,G
G,D
D,C
C,C#
C#,D
D,G
G,C
C,G
G,D
D,C
C,G
G,D
D,C
C,C#
C#,D
D,G
G,N
N,N
N,D
D,D:maj6
D:maj6,D
D,E/b7
E/b7,E:maj6/b7
E:maj6/b7,E/b7
E/b7,G/5
G/5,G:maj6/5
G:maj6/5,G/5
G/5,D
D,D:maj6
D:maj6,D
D,D
D,E
E,G
G,D
D,D
D,E
E,G
G,D
D,B:min
B:min,G
G,B:min
B:min,E
E,D
D,E
E,G
G,D
D,D
D,E
E,G
G,D
D,D
D,E
E,G
G,D
D,B:min
B:min,G
G,B:min
B:min,E
E,D
D,E
E,G
G,D
D,A
A,B:min
B:min,E
E,G
G,A:7
A:7,D
D,E
E,G
G,D
D,D
D,E
E,G
G,D
D,B:min
B:min,G
G,B:min
B:min,E
E,D
D,E
E,G
G,D
D,A
A,B:min
B:min,E
E,G
G,A:7
A:7,D
D,E
E,G
G,D
D,D
D,E
E,G
G,D
D,B:min
B:min,G
G,B:min
B:min,E
E,D
D,E
E,G
G,D
D,G
G,D
D,G
G,D
D,D
D,D:maj6
D:maj6,D
D,E/b7
E/b7,E:maj6/b7
E:maj6/b7,E/b7
E/b7,G/5
G/5,G:maj6/5
G:maj6/5,G/5
G/5,D
D,N
N,N
N,E
E,A
A,D
D,E
E,A
A,D
D,E
E,A
A,D
D,E
E,A
A,D
D,E
E,A
A,D
D,E
E,A
A,D
D,E
E,A
A,D
D,E
E,A
A,D
D,E
E,A
A,D
D,E
E,A
A,D
D,E
E,A
A,D
D,E
E,A
A,D
D,E
E,A
A,D
D,E
E,A
A,D
D,E
E,A
A,D
D,E
E,A
A,D
D,E
E,A
A,D
D,E
E,A
A,D
D,E
E,A
A,D
D,E
E,A
A,D
D,E
E,A
A,D
D,E
E,A
A,D
D,E
E,A
A,D
D,E
E,A
A,D
D,E
E,A
A,D
D,E
E,A
A,D
D,E
E,A
A,D
D,E
E,A
A,D
D,E
E,A
A,D
D,E
E,A
A,D
D,E
E,A
A,D
D,E
E,A
A,D
D,E
E,A
A,D
D,E
E,N
N,N
N,E/5
E/5,E/#4
E/#4,E/4
E/4,E
E,E
E,C
C,E
E,C
C,B:9
B:9,E
E,E
E,A
A,E
E,B:9
B:9,E
E,E
E,C
C,E
E,C
C,B:9
B:9,E
E,E
E,A
A,E
E,B:9
B:9,E
E,E
E,C
C,E
E,C
C,B
B,E
E,E
E,A
A,E
E,B:9
B:9,E
E,E
E,C
C,E
E,C
C,B:9
B:9,E
E,E
E,E
E,A
A,E
E,B:9
B:9,E
E,E
E,C
C,E
E,C
C,B:9
B:9,E
E,E
E,A
A,E
E,B:9
B:9,E
E,B:7
B:7,E
E,E
E,N
N,N
N,A
A,D
D,E
E,A
A,D
D,E
E,A
A,G
G,D
D,D/7
D/7,A/3
A/3,B:min
B:min,D/5
D/5,E/3
E/3,A
A,A
A,D
D,E
E,A
A,G
G,D
D,D/7
D/7,A/3
A/3,B:min
B:min,D/5
D/5,E/3
E/3,A
A,A
A,G
G,G
G,A
A,A
A,G
G,G
G,A
A,A
A,D
D,E
E,A
A,G
G,D
D,D/7
D/7,A/3
A/3,B:min
B:min,D/5
D/5,E/3
E/3,A
A,A
A,D
D,E
E,A
A,G
G,D
D,D/7
D/7,A/3
A/3,B:min
B:min,D/5
D/5,E/3
E/3,A
A,A
A,G
G,G
G,A
A,A
A,G
G,G
G,A
A,A
A,D
D,E
E,A
A,G
G,D
D,A/3
A/3,B:min
B:min,D/5
D/5,E/3
E/3,A
A,A
A,G
G,G
G,A
A,A
A,G
G,G
G,A
A,A
A,D
D,E
E,A
A,D
D,E
E,A
A,D
D,E
E,N
N,N
N,G
G,G/b7
G/b7,E:min7
E:min7,D:sus4
D:sus4,F:maj9
F:maj9,C/3
C/3,D:7
D:7,D/2
D/2,A:min/6
A:min/6,A:min
A:min,G
G,G
G,D
D,E:min
E:min,B
B,A:min
A:min,D
D,G
G,F:maj7
F:maj7,G
G,G
G,D
D,E:min
E:min,B
B,A:min
A:min,D
D,G
G,F:maj7
F:maj7,G
G,G
G,E:min
E:min,A
A,C
C,D
D,G
G,E:min
E:min,A
A,C
C,D
D,G
G,D:7(#9)
D:7(#9),E:min
E:min,B
B,A:min
A:min,D
D,G
G,F:maj7
F:maj7,G
G,G
G,D:9
D:9,D:7(#9)
D:7(#9),E:min
E:min,B
B,A:min
A:min,D
D,G
G,F:maj7
F:maj7,G
G,G
G,E:min
E:min,A
A,C
C,D
D,G
G,E:min
E:min,A
A,C
C,D
D,G
G,D:7(#9)
D:7(#9),D:9
D:9,E:min
E:min,B
B,A:min
A:min,D
D,G
G,F:maj7
F:maj7,G
G,G
G,G:7
G:7,E:min/b3
E:min/b3,D:7
D:7,D:7
D:7,D:7
D:7,D
D,D
D,D:7
D:7,G
G,N
N,N
N,N
N,D
D,G
G,D
D,G
G,D
D,G
G,D
D,G
G,B:min
B:min,G
G,D
D,G
G,D
D,G
G,D
D,G
G,B:min
B:min,G
G,D
D,G
G,B:min
B:min,G
G,B:min
B:min,E
E,A
A,D
D,G
G,D
D,G
G,B:min
B:min,G
G,D
D,G
G,D
D,G
G,D
D,G
G,B:min
B:min,G
G,G
G,D
D,G
G,B:min
B:min,G
G,B:min
B:min,E:min
E:min,A
A,D
D,G
G,D
D,G
G,B:min
B:min,G
G,G
G,D
D,G
G,D
D,G
G,D
D,G
G,D
D,D:(1)
D:(1),N
N,A:(1)
A:(1),D
D,G:7
G:7,D
D,G:7
G:7,D
D,G
G,N
N,N
N,E:7
E:7,A
A,E
E,B:9
B:9,A
A,E
E,E:7
E:7,A
A,E
E,B:9
B:9,A
A,E
E,E
E,E
E,A
A,E
E,B:9
B:9,A
A,E
E,E:7
E:7,A
A,E
E,B:9
B:9,A
A,E
E,E:7(#9)
E:7(#9),E:7(#9)
E:7(#9),A:7
A:7,E:7(#9)
E:7(#9),B:9
B:9,A:9
A:9,E
E,E
E,E:7
E:7,E:7
E:7,A:9
A:9,E
E,B:9
B:9,A
A,E:7
E:7,E:7
E:7,A
A,E
E,B:9
B:9,A
A,E
E,E:7
E:7,A
A,E
E,B:9
B:9,A
A,E
E,B:7
B:7,E
E,E:7
E:7,E:9
E:9,N
