Source,Target
D,E
E,A
A,D/5
D/5,A
A,A
A,D/5
D/5,E
E,E:sus2(b7)
E:sus2(b7),E:maj6
E:maj6,E:7
E:7,B:min
B:min,E
E,B:min
B:min,G
G,A
A,F#
F#,E
E,A
A,D
D,A
A,D
D,A
A,D
D,E
E,A
A,D/5
D/5,A
A,D/5
D/5,A
A,D/5
D/5,A
A,D/5
D/5,A
A,D/5
D/5,A
A,D/5
D/5,A
A,D/5
D/5,A
A,D/5
D/5,A
A,D/5
D/5,A
A,N
N,N
N,E:min
E:min,A
A,A:min/4
A:min/4,C:min
C:min,G
G,E:min
E:min,A
A,A:min/4
A:min/4,C:min
C:min,G
G,A:9
A:9,D
D,G
G,Eb
Eb,E
E,A
A,D
D,G
G,Eb
Eb,D
D,G
G,Eb
Eb,E
E,A
A,D
D,G
G,F#/5
F#/5,F/5
F/5,E:min/5
E:min/5,A:7/3
A:7/3,G/3
G/3,G
G,F#:dim/b3
F#:dim/b3,B:dim
B:dim,C
C,E/5
E/5,A:min
A:min,D
D,D/2
D/2,D/3
D/3,G
G,Eb
Eb,E
E,A
A,D
D,G
G,Eb
Eb,D
D,G
G,Eb
Eb,E
E,A
A,D
D,G
G,Eb
Eb,D
D,G
G,Eb
Eb,E
E,A
A,D
D,G
G,F#/5
F#/5,F/5
F/5,E:min/5
E:min/5,A:7/3
A:7/3,G/3
G/3,G
G,F#:dim/b3
F#:dim/b3,B:dim
B:dim,C
C,E/5
E/5,A:min
A:min,D
D,D/2
D/2,D/3
D/3,G
G,Eb
Eb,E
E,A
A,D
D,G
G,Eb
Eb,D
D,G
G,Eb
Eb,E
E,A
A,D
D,G
G,Eb
Eb,D
D,G
G,N
N,N
N,E:7
E:7,E
E,F#
F#,A
A,G
G,B
B,E:min
E:min,C/3
C/3,C#:dim/b3
C#:dim/b3,C/3
C/3,C:maj7
C:maj7,G
G,N
N,E:7
E:7,E
E,F#
F#,A
A,G
G,B
B,E:min
E:min,C/3
C/3,C#:dim/b3
C#:dim/b3,C/3
C/3,C:maj7
C:maj7,G
G,N
N,E:min
E:min,A
A,A:sus4(2)
A:sus4(2),A
A,G
G,B
B,E:min
E:min,A
A,A:sus4(2)
A:sus4(2),A
A,G
G,B
B,E
E,F#
F#,A
A,G
G,B
B,E:min
E:min,C/3
C/3,C#:dim/b3
C#:dim/b3,C/3
C/3,C:maj7
C:maj7,G
G,N
N,E:min
E:min,A
A,A:sus4(2)
A:sus4(2),A
A,G
G,B
B,E:min
E:min,A
A,E:sus4(2)
E:sus4(2),E
E,G
G,B
B,E
E,F#
F#,A
A,G
G,B
B,E:min
E:min,C/3
C/3,C#:dim/b3
C#:dim/b3,C/3
C/3,C:maj7
C:maj7,G
G,N
N,E:min
E:min,C/3
C/3,C#:dim/b3
C#:dim/b3,C/3
C/3,C:maj7
C:maj7,G
G,N
N,N
N,G
G,A:min
A:min,F
F,G
G,E:min
E:min,A
A,F
F,E:min
E:min,Eb:aug
Eb:aug,G/5
G/5,C#:hdim7
C#:hdim7,C:7
C:7,G
G,E:min
E:min,Eb:aug
Eb:aug,G/5
G/5,C#:hdim7
C#:hdim7,C:7
C:7,G
G,A:min
A:min,F
F,G
G,E:min
E:min,A
A,F
F,G
G,E:min
E:min,Eb:aug
Eb:aug,G/5
G/5,C#:hdim7
C#:hdim7,C:7
C:7,G
G,E:min
E:min,Eb:aug
Eb:aug,G/5
G/5,C#:hdim7
C#:hdim7,C:7
C:7,G
G,A:min
A:min,F
F,G
G,E:min
E:min,A
A,F
F,G
G,E:min
E:min,Eb:aug
Eb:aug,G/5
G/5,C#:hdim7
C#:hdim7,C:7
C:7,G
G,E:min
E:min,Eb:aug
Eb:aug,G/5
G/5,C#:hdim7
C#:hdim7,C:7
C:7,G
G,A:min
A:min,F
F,G
G,E:min
E:min,A
A,F
F,G
G,E:min
E:min,Eb:aug
Eb:aug,G/5
G/5,C#:hdim7
C#:hdim7,C:7
C:7,G
G,E:min
E:min,Eb:aug
Eb:aug,G/5
G/5,C#:hdim7
C#:hdim7,C:7
C:7,G
G,A:min
A:min,F
F,G
G,E:min
E:min,A
A,F
F,G
G,A:min
A:min,F
F,G
G,E:min
E:min,A
A,F
F,G
G,A:min
A:min,F
F,G
G,E:min
E:min,A
A,F
F,E:min
E:min,F:min
F:min,N
N,E:min/3
E:min/3,B:min
B:min,E:min
E:min,B:min
B:min,C#
C#,C#
C#,B:min
B:min,N
N,C#:min
C#:min,Bb
Bb,N
N,C#:min
C#:min,B:min
B:min,N
N,E:min6
E:min6,B:min
B:min,N
N,Eb
Eb,N
N,Ab:min
Ab:min,N
N,D:min
D:min,C
C,G
G,C
C,G
G,N
N,E
E,N
N,B:min
B:min,E:min
E:min,C
C,E:min
E:min,C
C,A:(1)
A:(1),N
N,F
F,Eb
Eb,N
N,F
F,Eb
Eb,N
N,N
N,C
C,F
F,C
C,N
N,G
G,N
N,C
C,F
F,C
C,N
N,G
G,N
N,C
C,F
F,C
C,N
N,G
G,N
N,B:min
B:min,F#:min/5
F#:min/5,B:min
B:min,N
N,C#:min
C#:min,N
N,N
N,D:(1)
D:(1),"D:(1,5)"
"D:(1,5)",N
N,C:maj7
C:maj7,C
C,N
N,C
C,N
N,C:maj7
C:maj7,N
N,B:min
B:min,F#:min
F#:min,B:min
B:min,B
B,N
N,A
A,N
N,B
B,B:maj7
B:maj7,E:min
E:min,B:maj7
B:maj7,N
N,N
N,G:maj7
G:maj7,C/5
C/5,G:maj7
G:maj7,C/5
C/5,G:maj7
G:maj7,C/5
C/5,G:maj7
G:maj7,C/5
C/5,G
G,B:min7
B:min7,A:min7
A:min7,D:sus4
D:sus4,D
D,G
G,B:min7
B:min7,A:min7
A:min7,C/5
C/5,B:min
B:min,A:min
A:min,C/5
C/5,D/3
D/3,G
G,B:min7
B:min7,A:min7
A:min7,B:min
B:min,A:min
A:min,C
C,D
D,G:maj7
G:maj7,C:maj(#4)/5
C:maj(#4)/5,G:maj7
G:maj7,C:maj(#4)/5
C:maj(#4)/5,G
G,C/5
C/5,G
G,C/5
C/5,G
G,B:min7
B:min7,A:min7
A:min7,C/5
C/5,B:min
B:min,A:min
A:min,C/5
C/5,D/3
D/3,G
G,B:min7
B:min7,A:min7
A:min7,B:min
B:min,A:min
A:min,C/5
C/5,D/3
D/3,G:maj7
G:maj7,C:maj(#4)/5
C:maj(#4)/5,G:maj7
G:maj7,C:maj(#4)/5
C:maj(#4)/5,G
G,C/5
C/5,G
G,C/5
C/5,G
G,A:min
A:min,A
A,D:min
D:min,G
G,C/5
C/5,D/3
D/3,C
C,D
D,G
G,B:min7
B:min7,A:min7
A:min7,C/5
C/5,B:min
B:min,A:min
A:min,C/5
C/5,D/3
D/3,G
G,B:min7
B:min7,A:min7
A:min7,B:min
B:min,A:min
A:min,C/5
C/5,D/3
D/3,G:maj7
G:maj7,C:maj(#4)/5
C:maj(#4)/5,G:maj7
G:maj7,C:maj(#4)/5
C:maj(#4)/5,G:maj7
G:maj7,C/5
C/5,G:maj7
G:maj7,C/5
C/5,G
G,B:min7
B:min7,A:min7
A:min7,C/5
C/5,G
G,B:min7
B:min7,A:min7
A:min7,D:sus4
D:sus4,D
D,G
G,N
